epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7482,2.14584,4.81275,2.09314,0.0024,0.83333,0.05126,0.01506,1.71929,5.88144,1.9233,0.000388889,0.000388889,0.000388889
2,63.8912,1.63374,4.14441,1.64003,0.00399,0.75,0.09186,0.03565,2.05842,6.27404,2.2009,0.000646056,0.000646056,0.000646056
3,95.3698,1.76621,4.05755,1.81656,0.00482,0.66667,0.04025,0.01516,2.00282,6.26216,2.2671,0.000738222,0.000738222,0.000738222
4,126.011,1.57484,3.8758,1.69192,0.00254,0.66667,0.37879,0.19667,1.57002,5.42636,1.74187,0.0005075,0.0005075,0.0005075
5,157.327,1.54878,3.68086,1.70445,0.00441,0.83333,0.61856,0.32299,1.20727,4.73607,1.59122,0.00026,0.00026,0.00026
